,di_name,tri_name
0,Di1,TriA
2,Di2,TriA
3,Di3,TriA
5,Di4,TriA
6,Di5,TriA
10,Di6,TriA
12,Di7,TriA
13,Di8,TriA
16,Di3,TriB
20,Di7,TriB
54,Di7,TriC
57,Di3,TriD
59,Di7,TriD
67,Di8,TriD
70,Di5,TriE
72,Di1,TriF
77,Di2,TriF
80,Di3,TriF
82,Di6,TriF
83,Di7,TriF
85,Di8,TriF
89,Di17,TriG
93,Di18,TriG
94,Di19,TriG
101,Di20,TriG
103,Di21,TriG
108,Di22,TriG
111,Di23,TriG
115,Di24,TriG
116,Di18,TriH
117,Di19,TriH
119,Di20,TriH
120,Di21,TriH
121,Di18,TriI
122,Di19,TriI
124,Di20,TriI
128,Di22,TriI
131,Di18,TriJ
134,Di19,TriJ
135,Di20,TriJ
136,Di21,TriJ
141,Di22,TriJ
142,Di23,TriJ
144,Di24,TriJ
145,Di19,TriK
146,Di20,TriK
147,Di21,TriK
149,Di22,TriK
150,Di19,TriL
152,Di20,TriL
153,Di21,TriL
154,Di22,TriL
156,Di9,TriA
159,Di10,TriA
160,Di11,TriA
165,Di12,TriA
166,Di13,TriA
167,Di14,TriA
173,Di15,TriA
174,Di16,TriA
177,Di15,TriC
178,Di14,TriD
179,Di15,TriE
180,Di9,TriF
183,Di11,TriF
189,Di12,TriF
190,Di13,TriF
191,Di14,TriF
195,Di15,TriF
196,Di16,TriF
200,Di17,TriM
204,Di18,TriM
205,Di19,TriM
206,Di20,TriM
207,Di21,TriM
209,Di22,TriM
210,Di23,TriM
211,Di17,TriN
213,Di18,TriN
217,Di19,TriN
218,Di20,TriN
225,Di21,TriN
226,Di22,TriN
227,Di23,TriN
230,Di18,TriO
231,Di19,TriO
238,Di20,TriO
239,Di21,TriO
240,Di22,TriO
244,Di23,TriO
245,Di19,TriP
247,Di20,TriP
248,Di22,TriP
252,Di19,TriQ
255,Di20,TriQ
256,Di22,TriQ
259,Di17,TriR
260,Di18,TriR
261,Di19,TriR
264,Di20,TriR
265,Di21,TriR
267,Di22,TriR
269,Di23,TriR
270,Di24,TriR
328,Di22,TriH
336,Di23,TriH
337,Di24,TriH
364,Di23,TriI
392,Di25,TriJ
394,Di26,TriJ
405,Di23,TriK
422,Di28,TriG
425,Di32,TriG
429,Di33,TriG
437,Di34,TriG
439,Di32,TriH
442,Di33,TriH
450,Di34,TriH
452,Di33,TriI
461,Di27,TriJ
464,Di28,TriJ
468,Di31,TriJ
473,Di32,TriJ
478,Di33,TriJ
486,Di34,TriJ
488,Di33,TriK
492,Di34,TriK
493,Di30,TriR
494,Di31,TriR
495,Di34,TriR
496,Di19,TriS
497,Di22,TriS
505,Di19,TriT
515,Di20,TriT
519,Di22,TriT
527,Di24,TriT
553,Di25,TriT
554,Di19,TriU
557,Di22,TriU
561,Di23,TriU
562,Di33,TriS
569,Di29,TriT
580,Di30,TriT
590,Di31,TriT
591,Di33,TriT
599,Di34,TriT
604,Di33,TriU
605,Di34,TriU
652,Di27,TriR
655,Di29,TriR
658,Di32,TriR
660,Di33,TriR
667,Di29,TriL
670,Di25,TriM
671,Di26,TriM
674,Di27,TriM
676,Di29,TriM
677,Di30,TriM
685,Di26,TriN
686,Di28,TriN
687,Di29,TriN
688,Di30,TriN
690,Di31,TriN
692,Di30,TriO
694,Di30,TriQ
697,Di33,TriL
701,Di34,TriL
712,Di33,TriM
715,Di34,TriM
717,Di33,TriN
721,Di34,TriN
722,Di33,TriO
727,Di34,TriO
731,Di33,TriP
736,Di34,TriP
741,Di33,TriQ
746,Di34,TriQ
750,Di21,TriU
